#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8715104.1         -            967 3741at5125           -            734         0 1300.7   7.3   1   3         0         0 1215.4   0.1     1   619    97   754    97   768 0.95 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8718212.1         -            948 3741at5125           -            734   1.6e-17   62.1  11.5   5   5    0.0048       6.7    3.9   0.1   654   674   762   782   759   795 0.84 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8720889.1         -           1070 3741at5125           -            734   2.9e-16   58.0   4.7   1   3   1.6e-12   2.3e-09   35.2   0.3     3   133    42   190    41   202 0.76 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720889.1         -           1070 3741at5125           -            734   2.9e-16   58.0   4.7   2   3   4.7e-06    0.0065   13.9   0.2   379   397   448   466   436   481 0.83 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720889.1         -           1070 3741at5125           -            734   2.9e-16   58.0   4.7   3   3   0.00024      0.33    8.2   0.0   560   656   597   698   584   709 0.76 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8713872.1         -           1125 3741at5125           -            734   3.4e-14   51.2   3.8   1   4   2.4e-10   3.4e-07   28.0   1.1     3   134    84   233    83   245 0.72 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8713872.1         -           1125 3741at5125           -            734   3.4e-14   51.2   3.8   2   4       0.8   1.1e+03   -3.4   0.0   286   367   345   420   337   422 0.66 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8713872.1         -           1125 3741at5125           -            734   3.4e-14   51.2   3.8   3   4   1.5e-06     0.002   15.5   0.0   379   400   490   511   443   603 0.89 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8713872.1         -           1125 3741at5125           -            734   3.4e-14   51.2   3.8   4   4    0.0026       3.6    4.8   0.0   560   633   639   716   609   741 0.74 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8710320.1         -            662 3741at5125           -            734   2.7e-08   31.7   1.1   1   2   9.9e-11   1.4e-07   29.3   0.5     4   189    59   255    57   274 0.77 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8710320.1         -            662 3741at5125           -            734   2.7e-08   31.7   1.1   2   2     0.082   1.2e+02   -0.2   0.0   557   607   356   407   351   434 0.86 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8720082.1         -            660 3741at5125           -            734   2.9e-06   24.9   0.6   1   3   9.6e-09   1.3e-05   22.8   0.0     2   133    23   156    22   168 0.78 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720082.1         -            660 3741at5125           -            734   2.9e-06   24.9   0.6   2   3      0.32   4.5e+02   -2.1   0.4   140   190   211   260   181   276 0.83 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720082.1         -            660 3741at5125           -            734   2.9e-06   24.9   0.6   3   3      0.23   3.2e+02   -1.6   0.1   379   397   262   280   250   283 0.82 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8711415.1         -           1116 3741at5125           -            734   0.00021   18.8   0.0   1   2   2.3e-06    0.0032   14.9   0.0     2    51    78   127    77   134 0.91 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8711415.1         -           1116 3741at5125           -            734   0.00021   18.8   0.0   2   2     0.036        50    1.0   0.0   557   587   746   777   730   792 0.85 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/3741at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/3741at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/3741at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:24:57 2024
# [ok]
