#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8718212.1         -            948 4153at5125           -            802         0 1381.4   1.0   1   2         0         0 1354.3   0.0     1   778     1   887     1   902 0.91 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 4153at5125           -            802   1.8e-17   61.7   2.3   5   6      0.51   6.3e+02   -3.0   0.0   531   553   636   655   627   675 0.70 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 4153at5125           -            802   1.8e-17   61.7   2.3   6   6     0.016        19    2.0   0.0   683   710   838   866   783   871 0.73 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8710320.1         -            662 4153at5125           -            802     1e-05   22.8   0.0   1   2   3.6e-07   0.00045   17.4   0.0    31   101    46   116    25   137 0.86 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8710320.1         -            662 4153at5125           -            802     1e-05   22.8   0.0   2   2    0.0087        11    2.9   0.0   538   567   344   372   337   391 0.79 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8711415.1         -           1116 4153at5125           -            802   1.2e-05   22.6   0.0   1   3   6.8e-07   0.00084   16.5   0.0    31    91    67   127    37   172 0.86 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8711415.1         -           1116 4153at5125           -            802   1.2e-05   22.6   0.0   2   3     0.072        90   -0.2   0.0   259   317   383   443   315   462 0.72 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8711415.1         -           1116 4153at5125           -            802   1.2e-05   22.6   0.0   3   3     0.021        27    1.6   0.0   549   570   744   765   738   790 0.85 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720082.1         -            660 4153at5125           -            802    0.0013   15.9   0.0   1   2   2.8e-05     0.035   11.1   0.0    39   108    20    90    12   151 0.82 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720082.1         -            660 4153at5125           -            802    0.0013   15.9   0.0   2   2     0.012        15    2.4   0.0   426   442   264   280   248   290 0.81 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8718841.1         -            237 4153at5125           -            802     0.078   10.0   0.3   1   1   8.7e-05      0.11    9.5   0.3   468   520    94   144    86   150 0.93 hypothetical protein HC256_003470 [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/4153at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/4153at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/4153at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:25:06 2024
# [ok]
