#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH13_14	289	FUN_004770-T1	463	4.9e-36	0	289	67	335	1.000000
GH13_32	269	FUN_004770-T1	463	1.1e-32	0	247	74	309	0.918216
GH13_6	289	FUN_004770-T1	463	7.3e-32	1	178	68	237	0.612457
GH13_21	308	FUN_004770-T1	463	5.4e-31	0	307	58	341	0.996753
GH13_28	266	FUN_004770-T1	463	1.5e-29	0	260	58	301	0.977444
GH13_39	316	FUN_004770-T1	463	1.4e-28	0	315	58	344	0.996835
GH13_7	289	FUN_004770-T1	463	8.1e-25	1	286	67	332	0.986159
GH13_37	320	FUN_004770-T1	463	1.5e-22	8	168	58	225	0.500000
GH13_10	313	FUN_004770-T1	463	4.2e-22	4	147	58	218	0.456869
GH13_15	285	FUN_004770-T1	463	6.5e-21	30	271	101	317	0.845614
AA3	618	FUN_004777-T1	1166	6.5e-24	156	407	25	484	0.406149
GH20	337	FUN_004794-T1	708	2.6e-56	8	335	161	496	0.970326
GH17	311	FUN_004827-T1	716	7.5e-35	9	306	435	702	0.954984
GT20	475	FUN_004831-T1	649	1.5e-127	52	473	148	628	0.886316
AA7	458	FUN_004853-T1	587	2.4e-57	11	185	115	301	0.379913
AA3_2	568	FUN_004874-T1	609	1.4e-125	1	567	18	599	0.996479
AA3	618	FUN_004874-T1	609	1.1e-74	85	401	15	601	0.511327
AA3_3	590	FUN_004874-T1	609	9.8e-54	1	587	18	599	0.993220
AA3_1	548	FUN_004874-T1	609	1.8e-39	9	379	12	371	0.675182
GH2	752	FUN_004894-T1	924	3.5e-70	64	555	49	788	0.652926
GH27	229	FUN_004895-T1	621	5.1e-33	7	227	324	597	0.960699
AA7	458	FUN_004899-T1	481	4.9e-68	6	223	55	274	0.473799
GH3	216	FUN_004906-T1	744	2.9e-60	4	216	80	287	0.981481
GH3	216	FUN_004907-T1	797	8e-54	3	215	95	344	0.981481
GH3	216	FUN_004928-T1	838	1.1e-57	4	216	40	252	0.981481
AA3_2	568	FUN_004932-T1	502	1.4e-98	2	500	20	496	0.876761
AA3	618	FUN_004932-T1	502	8.3e-53	79	323	10	463	0.394822
AA3_3	590	FUN_004932-T1	502	8.9e-41	3	315	21	322	0.528814
GH54	316	FUN_004937-T1	500	4.9e-159	0	315	22	337	0.996835
CBM42	136	FUN_004937-T1	500	5.4e-59	1	136	354	495	0.992647
AA3_3	590	FUN_004946-T1	1022	5.2e-256	0	590	13	650	1.000000
AA3_2	568	FUN_004946-T1	1022	2.9e-127	1	567	14	647	0.996479
AA3	618	FUN_004946-T1	1022	1.2e-87	84	416	10	664	0.537217
AA3_1	548	FUN_004946-T1	1022	3.1e-43	14	357	13	362	0.625912
GH18	296	FUN_004946-T1	1022	1.4e-22	15	203	670	905	0.635135
GT1	382	FUN_004953-T1	837	6.1e-60	81	376	192	517	0.772251
AA1_2	337	FUN_004958-T1	614	5e-150	0	336	36	375	0.997033
AA1	358	FUN_004958-T1	614	1.8e-111	6	358	35	496	0.983240
AA1_3	312	FUN_004958-T1	614	3.8e-64	10	300	15	300	0.929487
AA1_1	303	FUN_004958-T1	614	1.1e-59	1	277	30	301	0.910891
CE1	227	FUN_004961-T1	306	7.9e-27	3	143	53	207	0.616740
GH16_18	158	FUN_004965-T1	451	5.8e-64	1	158	68	224	0.993671
GH16_19	174	FUN_004965-T1	451	2.4e-42	12	174	70	227	0.931034
GH16_21	206	FUN_004965-T1	451	1.1e-22	50	205	76	240	0.752427
GH16	189	FUN_004965-T1	451	6.5e-22	50	188	78	242	0.730159
GH75	220	FUN_004994-T1	348	1.6e-74	2	220	7	251	0.990909
PL7_4	214	FUN_004995-T1	252	1.5e-63	0	214	30	249	1.000000
PL7	231	FUN_004995-T1	252	9.8e-39	0	231	30	249	1.000000
PL7_1	219	FUN_004995-T1	252	2e-23	1	206	31	239	0.936073
PL7_3	214	FUN_004995-T1	252	6e-21	0	209	31	244	0.976636
GH3	216	FUN_004998-T1	957	7.6e-62	7	216	169	381	0.967593
GT90	250	FUN_005038-T1	585	1.3e-65	2	248	297	574	0.984000
GH12	156	FUN_005057-T1	234	1.8e-49	2	156	86	233	0.987179
GH37	491	FUN_005064-T1	686	1.6e-155	1	489	55	632	0.993890
GT17	284	FUN_005066-T1	370	2e-79	4	284	64	358	0.985915
GT57	481	FUN_005104-T1	574	5.6e-144	2	480	54	552	0.993763
AA7	458	FUN_005123-T1	479	6e-73	4	454	36	467	0.982533
GH27	229	FUN_005126-T1	496	4.7e-69	2	226	121	400	0.978166
GT69	239	FUN_005248-T1	515	8.9e-68	0	238	192	433	0.995816
GH35	307	FUN_005299-T1	976	5.9e-85	0	303	51	340	0.986971
GH13_9	301	FUN_005349-T1	691	5.4e-60	0	266	212	482	0.883721
GH13_10	313	FUN_005349-T1	691	5.1e-33	5	145	202	351	0.447284
GH13_11	351	FUN_005349-T1	691	5.7e-23	2	175	202	355	0.492877
GH13_14	289	FUN_005349-T1	691	5.7e-20	1	152	212	348	0.522491
GH13_13	361	FUN_005349-T1	691	1.2e-18	47	182	223	349	0.373961
GH13_37	320	FUN_005349-T1	691	7.5e-18	16	155	210	347	0.434375
GT71	264	FUN_005417-T1	509	3e-50	0	264	149	407	1.000000
AA3_2	568	FUN_005430-T1	586	5.1e-148	1	567	11	578	0.996479
AA3	618	FUN_005430-T1	586	6.6e-83	86	402	9	581	0.511327
AA3_3	590	FUN_005430-T1	586	1e-52	2	450	12	467	0.759322
GT22	389	FUN_005462-T1	645	4.1e-108	5	388	26	524	0.984576
AA7	458	FUN_005508-T1	518	2e-27	4	192	30	211	0.410480
GH76	358	FUN_005530-T1	594	1.4e-109	11	356	34	402	0.963687
GT3	637	FUN_005604-T1	706	1.7e-305	0	637	16	657	1.000000
AA1	358	FUN_005736-T1	634	3.5e-87	6	358	117	605	0.983240
AA1_2	337	FUN_005736-T1	634	6.9e-56	1	331	119	485	0.979228
AA1_3	312	FUN_005736-T1	634	1.1e-54	10	271	98	383	0.836538
AA1_1	303	FUN_005736-T1	634	8.9e-43	1	234	113	368	0.768977
PL38	279	FUN_005738-T1	422	3.2e-105	0	275	81	358	0.985663
GT2_Glyco_tranf_2_3	230	FUN_005798-T1	530	5.3e-25	2	229	73	309	0.986957
AA4	522	FUN_005802-T1	671	1.6e-21	2	247	189	427	0.469349
AA7	458	FUN_005802-T1	671	9.6e-21	10	195	238	430	0.403930
GH47	446	FUN_005816-T1	1148	2.3e-142	0	445	96	639	0.997758
GT32	90	FUN_005827-T1	409	4.4e-19	5	88	93	178	0.922222
GH55	740	FUN_005899-T1	759	7.2e-231	7	739	30	757	0.989189
GH16_3	230	FUN_005967-T1	287	2.8e-50	0	230	33	284	1.000000
GH16	189	FUN_005967-T1	287	6.9e-36	7	189	43	284	0.962963
GH16_5	238	FUN_005967-T1	287	2.7e-22	105	238	124	284	0.558824
GH71	375	FUN_005992-T1	623	7.5e-128	0	374	44	454	0.997333
CBM24	76	FUN_005992-T1	623	4.4e-25	5	76	549	620	0.934211
GH3	216	FUN_005993-T1	917	1.7e-50	3	210	91	303	0.958333
GH76	358	FUN_006009-T1	482	1.2e-103	10	356	44	427	0.966480
GH25	177	FUN_006013-T1	228	1.4e-49	1	172	25	205	0.966102
GT90	250	FUN_006028-T1	835	5.4e-70	2	248	558	826	0.984000
GH11	177	FUN_006041-T1	226	1.3e-57	7	174	56	220	0.943503
GH31	427	FUN_006074-T1	964	2.4e-148	0	427	289	849	1.000000
GH3	216	FUN_006078-T1	834	2.3e-61	4	216	33	245	0.981481
GH28	325	FUN_006087-T1	405	4.5e-68	7	322	54	393	0.969231
GH28	325	FUN_006088-T1	176	2.6e-31	183	323	1	165	0.430769
GT109	411	FUN_006098-T1	409	1.6e-113	6	394	2	406	0.944039
AA1	358	FUN_006104-T1	603	4.4e-62	6	357	38	571	0.980447
AA1_3	312	FUN_006104-T1	603	4.7e-35	11	271	20	339	0.833333
AA1_1	303	FUN_006104-T1	603	1.7e-27	1	161	34	188	0.528053
GH72	312	FUN_006123-T1	525	3.8e-130	3	311	20	330	0.987179
CBM43	83	FUN_006123-T1	525	2.1e-19	1	82	380	467	0.975904
GH89	663	FUN_006132-T1	596	1.1e-166	96	652	3	577	0.838612
GH27	229	FUN_006140-T1	624	2.1e-33	7	227	327	599	0.960699
GH95	722	FUN_006152-T1	706	4.6e-174	90	713	14	698	0.862881
GH27	229	FUN_006161-T1	473	4.4e-43	5	228	175	449	0.973799
GH30_3	417	FUN_006164-T1	476	9.5e-120	10	416	56	472	0.973621
GH30	417	FUN_006164-T1	476	8.1e-110	21	416	57	473	0.947242
GH30_1	416	FUN_006164-T1	476	2.3e-76	9	415	57	471	0.975962
GH30_2	417	FUN_006164-T1	476	4.4e-51	6	415	57	470	0.980815
GH30_9	442	FUN_006164-T1	476	1.3e-43	10	432	57	461	0.954751
GH30_6	450	FUN_006164-T1	476	1.7e-28	7	408	58	455	0.891111
GH30_7	443	FUN_006164-T1	476	4.3e-24	9	400	57	456	0.882619
GH30_8	342	FUN_006164-T1	476	1.5e-19	6	228	56	325	0.649123
GH36	688	FUN_006188-T1	746	2.7e-235	1	687	36	728	0.997093
GH47	446	FUN_006200-T1	598	1.9e-158	1	446	105	595	0.997758
GH2	752	FUN_006205-T1	908	2.2e-62	89	582	69	806	0.655585
GH55	740	FUN_006211-T1	763	1.4e-219	5	739	31	761	0.991892
GH109	399	FUN_006218-T1	363	6.8e-20	4	161	4	153	0.393484
GT32	90	FUN_006285-T1	374	2.7e-18	3	89	130	214	0.955556
GH72	312	FUN_006291-T1	540	3.7e-129	3	311	20	331	0.987179
CBM43	83	FUN_006291-T1	540	1.6e-18	0	82	380	467	0.987952
AA3_2	568	FUN_006295-T1	580	5.7e-150	1	566	25	574	0.994718
AA3	618	FUN_006295-T1	580	2.9e-73	84	402	21	578	0.514563
AA3_3	590	FUN_006295-T1	580	4.5e-62	1	317	25	335	0.535593
GH128	224	FUN_006305-T1	270	4.4e-48	7	224	41	262	0.968750
GT8	257	FUN_006375-T1	542	4.6e-45	28	254	8	223	0.879377
GH67	669	FUN_006462-T1	847	3.4e-266	1	668	21	701	0.997010
GT15	273	FUN_006513-T1	394	1.1e-117	0	272	73	352	0.996337
AA2	255	FUN_006557-T1	927	8.5e-24	18	195	60	242	0.694118
GH5_24	315	FUN_006639-T1	524	9.6e-160	0	315	179	494	1.000000
GH5_1	310	FUN_006639-T1	524	2.1e-58	0	304	181	489	0.980645
GH5_51	351	FUN_006639-T1	524	1.6e-57	0	348	179	487	0.991453
GH5_11	313	FUN_006639-T1	524	6.3e-46	0	313	179	486	1.000000
GH5	275	FUN_006639-T1	524	2.8e-40	1	242	179	497	0.876364
GH5_20	344	FUN_006639-T1	524	6.2e-26	2	237	186	407	0.683140
GH5_8	253	FUN_006639-T1	524	5.5e-18	0	244	180	485	0.964427
GH18	296	FUN_006654-T1	1269	2.5e-48	5	278	438	785	0.922297
AA7	458	FUN_006662-T1	574	1.2e-54	18	208	134	331	0.414847
CE5	189	FUN_006665-T1	302	5.4e-42	0	189	31	237	1.000000
AA9	220	FUN_006667-T1	344	1.1e-68	1	219	9	233	0.990909
AA7	458	FUN_006725-T1	492	6.6e-33	7	187	33	221	0.393013
GH128	224	FUN_006801-T1	451	1e-54	6	224	233	448	0.973214
GH18	296	FUN_006804-T1	324	1.6e-25	1	198	25	272	0.665541
AA3_1	548	FUN_006823-T1	739	2.2e-78	10	280	211	481	0.492701
AA3	618	FUN_006823-T1	739	7.8e-51	87	394	215	732	0.496764
AA3_2	568	FUN_006823-T1	739	4.7e-42	3	563	218	733	0.985915
GT22	389	FUN_006828-T1	515	5.6e-78	0	386	4	395	0.992288
GH18	296	FUN_000007-T1	343	3.4e-22	2	198	38	293	0.662162
AA3_2	568	FUN_000009-T1	540	5e-137	1	328	13	325	0.575704
AA3	618	FUN_000009-T1	540	1.4e-88	88	406	13	536	0.514563
AA3_3	590	FUN_000009-T1	540	2.4e-56	2	317	14	316	0.533898
AA3_1	548	FUN_000009-T1	540	1.5e-48	10	326	8	317	0.576642
GT4	160	FUN_000019-T1	685	2.2e-32	6	159	446	616	0.956250
GH2	752	FUN_000033-T1	893	3.8e-59	68	552	100	738	0.643617
GH31	427	FUN_000035-T1	846	7.9e-104	1	427	230	714	0.997658
GH12	156	FUN_000052-T1	328	3.5e-24	19	150	178	315	0.839744
GT2_Glyco_tranf_2_3	230	FUN_000053-T1	742	1.6e-20	1	229	219	453	0.991304
AA11	191	FUN_000112-T1	412	1e-74	0	188	17	217	0.984293
GH79	455	FUN_000117-T1	542	2.6e-86	1	435	35	516	0.953846
GT21	233	FUN_000145-T1	528	1.6e-86	0	233	50	358	1.000000
GH81	622	FUN_000165-T1	863	5.7e-123	16	622	66	713	0.974277
CE16	267	FUN_000182-T1	348	3.8e-85	0	266	29	331	0.996255
GH55	740	FUN_000194-T1	776	4.2e-218	9	739	28	772	0.986486
CE5	189	FUN_000198-T1	248	1.4e-47	0	186	77	244	0.984127
GH3	216	FUN_000263-T1	887	1.3e-61	5	216	102	314	0.976852
GH18	296	FUN_000304-T1	340	4.5e-19	3	198	13	232	0.658784
GH31	427	FUN_000308-T1	964	6.2e-147	1	427	366	815	0.997658
GH154	348	FUN_000327-T1	665	8.4e-123	0	348	20	370	1.000000
GH16_1	229	FUN_000427-T1	375	8.6e-90	2	228	120	352	0.986900
GH16	189	FUN_000427-T1	375	7.5e-20	11	188	99	371	0.936508
GH76	358	FUN_000445-T1	460	3.9e-113	11	356	29	403	0.963687
GH16_1	229	FUN_000567-T1	708	2.1e-65	1	228	61	304	0.991266
GH16	189	FUN_000567-T1	708	3.9e-22	11	176	35	306	0.873016
GH47	446	FUN_000581-T1	568	6.9e-154	0	446	100	565	1.000000
AA2	255	FUN_000606-T1	355	1.2e-60	2	254	84	337	0.988235
GH13_40	359	FUN_000629-T1	573	2.8e-168	0	359	33	385	1.000000
GH13_31	349	FUN_000629-T1	573	1.7e-148	0	349	33	385	1.000000
GH13_29	344	FUN_000629-T1	573	1.7e-131	0	343	32	384	0.997093
GH13_23	344	FUN_000629-T1	573	2.4e-113	0	342	33	384	0.994186
GH13_17	350	FUN_000629-T1	573	2.2e-90	0	191	33	225	0.545714
GH13_30	365	FUN_000629-T1	573	2.9e-83	0	364	33	383	0.997260
GH13	299	FUN_000629-T1	573	1.9e-81	11	293	32	386	0.943144
GH13_36	314	FUN_000629-T1	573	2.7e-79	0	313	33	384	0.996815
GH13_16	353	FUN_000629-T1	573	3.3e-74	0	243	33	293	0.688385
GH13_35	351	FUN_000629-T1	573	1.1e-68	0	186	33	221	0.529915
GH13_21	308	FUN_000629-T1	573	2.1e-61	0	306	33	384	0.993506
GH13_20	300	FUN_000629-T1	573	4.6e-54	0	166	33	217	0.553333
GH13_4	400	FUN_000629-T1	573	3.1e-43	1	187	33	218	0.465000
GH13_2	310	FUN_000629-T1	573	2.2e-36	1	177	33	217	0.567742
GH13_39	316	FUN_000629-T1	573	7.9e-35	0	166	33	216	0.525316
GH13_1	306	FUN_000629-T1	573	1.8e-34	1	299	33	383	0.973856
GH13_14	289	FUN_000629-T1	573	3.3e-33	1	289	43	379	0.996540
GH13_41	294	FUN_000629-T1	573	1e-27	0	160	33	215	0.544218
GH13_18	343	FUN_000629-T1	573	3.1e-26	2	157	52	218	0.451895
GH13_37	320	FUN_000629-T1	573	1.2e-23	6	153	31	210	0.459375
GH13_10	313	FUN_000629-T1	573	1.6e-21	3	146	32	217	0.456869
GH13_3	210	FUN_000629-T1	573	2.4e-20	2	146	40	210	0.685714
GH13_32	269	FUN_000629-T1	573	2.8e-19	0	155	49	217	0.576208
GT22	389	FUN_000631-T1	583	9.2e-89	4	360	20	411	0.915167
GH74	233	FUN_000710-T1	833	2.8e-55	16	112	83	182	0.412017
GT4	160	FUN_000825-T1	548	7.8e-25	4	126	350	483	0.762500
GH18	296	FUN_000884-T1	424	6.9e-82	5	286	41	390	0.949324
GH132	303	FUN_000927-T1	436	1.5e-100	9	302	130	434	0.966997
GH20	337	FUN_000997-T1	582	1.4e-86	5	336	182	529	0.982196
GT2_Chitin_synth_2	527	FUN_001008-T1	1193	1.2e-291	2	527	631	1155	0.996205
GH3	216	FUN_001031-T1	781	1.4e-60	2	216	86	301	0.990741
GH37	491	FUN_001075-T1	741	4e-154	1	490	142	706	0.995927
GH2	752	FUN_001128-T1	894	2.6e-83	27	502	3	677	0.631649
GH89	663	FUN_001145-T1	747	3.1e-209	0	653	65	729	0.984917
GH1	429	FUN_001195-T1	466	1.2e-158	4	423	1	458	0.976690
AA11	191	FUN_001250-T1	421	3.2e-71	0	188	20	214	0.984293
CE4	130	FUN_001264-T1	268	6.3e-24	5	128	68	197	0.946154
GT66	693	FUN_001284-T1	735	2.7e-185	7	599	21	656	0.854257
AA1	358	FUN_001347-T1	715	1.1e-109	7	357	175	668	0.977654
AA1_2	337	FUN_001347-T1	715	4.9e-84	1	330	176	539	0.976261
AA1_3	312	FUN_001347-T1	715	2.7e-78	11	299	156	461	0.923077
AA1_1	303	FUN_001347-T1	715	2.6e-68	1	299	170	497	0.983498
GH38	269	FUN_001485-T1	1077	1.9e-87	1	256	282	541	0.947955
GH16_18	158	FUN_001500-T1	380	2.1e-68	1	158	69	226	0.993671
GH16_19	174	FUN_001500-T1	380	1.7e-42	9	174	68	229	0.948276
GH16_21	206	FUN_001500-T1	380	1.5e-21	62	184	89	212	0.592233
GH16	189	FUN_001500-T1	380	8.6e-21	54	176	83	227	0.645503
GT62	268	FUN_001515-T1	372	1.8e-104	4	267	73	337	0.981343
GT34	246	FUN_001547-T1	636	2.7e-85	1	245	332	597	0.991870
GH16_1	229	FUN_001548-T1	319	5.1e-85	2	229	66	296	0.991266
GH16	189	FUN_001548-T1	319	2.7e-25	42	189	82	315	0.777778
GH95	722	FUN_001566-T1	794	6.4e-219	7	718	26	770	0.984765
GH18	296	FUN_001595-T1	812	3.8e-67	4	284	469	798	0.945946
AA9	220	FUN_001621-T1	249	1.2e-62	1	219	7	234	0.990909
AA7	458	FUN_001691-T1	493	1.1e-58	14	211	57	256	0.430131
AA7	458	FUN_001708-T1	553	2.7e-43	20	454	74	523	0.947598
GH30_3	417	FUN_001709-T1	490	2.5e-124	6	416	66	486	0.983213
GH30	417	FUN_001709-T1	490	6.5e-113	22	416	72	487	0.944844
GH30_1	416	FUN_001709-T1	490	1.1e-71	11	416	73	486	0.973558
GH30_2	417	FUN_001709-T1	490	4.7e-55	8	415	73	484	0.976019
GH30_9	442	FUN_001709-T1	490	9.3e-48	11	430	72	473	0.947964
GH30_7	443	FUN_001709-T1	490	7.9e-30	11	403	73	474	0.884876
GH30_6	450	FUN_001709-T1	490	4.7e-23	9	407	74	469	0.884444
GH30_8	342	FUN_001709-T1	490	4e-18	6	339	70	469	0.973684
GT32	90	FUN_001715-T1	341	1e-19	1	86	108	188	0.944444
GT15	273	FUN_001741-T1	499	7.4e-127	0	272	113	417	0.996337
AA3_2	568	FUN_001744-T1	579	4.1e-149	1	567	7	573	0.996479
AA3	618	FUN_001744-T1	579	1.8e-84	85	402	4	576	0.512945
AA3_3	590	FUN_001744-T1	579	1.2e-53	2	457	8	469	0.771186
GH16_19	174	FUN_001760-T1	472	2.4e-79	6	174	103	270	0.965517
GH16_18	158	FUN_001760-T1	472	2.8e-44	4	158	110	267	0.974684
GH16	189	FUN_001760-T1	472	1.8e-24	7	185	90	264	0.941799
GH16_21	206	FUN_001760-T1	472	3.4e-24	54	193	119	263	0.674757
GH16_20	162	FUN_001760-T1	472	2.9e-18	4	153	109	257	0.919753
GH16_27	138	FUN_001760-T1	472	4.9e-18	9	133	128	254	0.898551
AA7	458	FUN_001767-T1	609	4.6e-66	12	456	40	494	0.969432
GH78	504	FUN_001791-T1	664	7.7e-85	7	502	34	621	0.982143
GH79	455	FUN_001793-T1	468	7.3e-49	2	218	39	258	0.474725
GH3	216	FUN_001801-T1	835	8.4e-61	2	215	145	395	0.986111
GH3	216	FUN_001811-T1	706	9.3e-59	2	216	24	238	0.990741
AA14	255	FUN_001832-T1	286	4.3e-80	0	252	17	285	0.988235
GH62	278	FUN_001837-T1	322	2.8e-131	0	278	23	292	1.000000
GH71	375	FUN_001839-T1	563	2.3e-144	0	374	44	435	0.997333
GH28	325	FUN_001851-T1	220	1.1e-50	68	235	3	205	0.513846
GH106	824	FUN_001852-T1	1070	9.6e-75	21	739	0	879	0.871359
GH27	229	FUN_001854-T1	683	3.9e-22	20	202	374	602	0.794760
GH31	427	FUN_001861-T1	533	4e-82	0	211	104	325	0.494145
GH18	296	FUN_001865-T1	411	1.6e-27	4	291	33	329	0.969595
GT15	273	FUN_001884-T1	471	1.1e-46	1	266	26	364	0.970696
AA3_2	568	FUN_001906-T1	543	2.4e-141	1	329	12	325	0.577465
AA3	618	FUN_001906-T1	543	2.2e-93	85	407	9	540	0.521036
AA3_3	590	FUN_001906-T1	543	1.1e-62	2	323	13	322	0.544068
AA3_1	548	FUN_001906-T1	543	1.5e-48	10	545	7	531	0.976277
AA2	255	FUN_001918-T1	792	6.8e-41	15	115	127	228	0.392157
PL8_4	243	FUN_002015-T1	785	1.3e-89	0	242	386	632	0.995885
PL8	259	FUN_002015-T1	785	1.7e-44	2	256	386	633	0.980695
PL8_3	249	FUN_002015-T1	785	9.4e-42	1	220	385	609	0.879518
GT4	160	FUN_002018-T1	521	6.6e-38	5	160	249	407	0.968750
GH128	224	FUN_002043-T1	319	1.1e-66	3	224	41	281	0.986607
GH16_3	230	FUN_002055-T1	287	3.6e-58	0	230	31	285	1.000000
GH16	189	FUN_002055-T1	287	3.3e-38	1	188	31	284	0.989418
GH16_5	238	FUN_002055-T1	287	4.1e-21	80	238	92	285	0.663866
GT20	475	FUN_002077-T1	874	1e-154	15	473	23	551	0.964211
GT64	248	FUN_002095-T1	364	4.9e-56	0	243	110	357	0.979839
GH5_31	283	FUN_002100-T1	388	2.8e-46	2	282	41	313	0.989399
GH5	275	FUN_002100-T1	388	5.9e-26	33	242	37	319	0.760000
GH5_7	289	FUN_002100-T1	388	4e-21	7	255	41	284	0.858131
GT1	382	FUN_002107-T1	1433	6.8e-53	4	378	946	1367	0.979058
GH18	296	FUN_002179-T1	337	2e-55	48	281	22	309	0.787162
CE1	227	FUN_002229-T1	231	5.7e-18	2	142	47	186	0.616740
AA7	458	FUN_002234-T1	512	5.1e-39	11	181	35	213	0.371179
GH71	375	FUN_002236-T1	406	4.1e-71	11	373	3	380	0.965333
GH7	415	FUN_002239-T1	459	1.9e-138	0	414	23	393	0.997590
AA6	195	FUN_002266-T1	201	8.6e-85	0	192	3	198	0.984615
GT90	250	FUN_002275-T1	999	1.5e-41	10	248	691	967	0.952000
GT1	382	FUN_002298-T1	1195	1.6e-55	67	368	230	562	0.787958
PL20	229	FUN_006919-T1	258	5.3e-116	0	228	23	257	0.995633
GH15	361	FUN_006922-T1	659	1.5e-78	16	360	89	490	0.952909
CBM20	90	FUN_006922-T1	659	1.7e-26	0	85	556	644	0.944444
AA1_2	337	FUN_006988-T1	634	2.6e-154	1	336	40	376	0.994065
AA1	358	FUN_006988-T1	634	1.7e-108	6	357	38	487	0.980447
AA1_1	303	FUN_006988-T1	634	4.5e-65	1	298	33	327	0.980198
AA1_3	312	FUN_006988-T1	634	5.4e-65	10	297	18	303	0.919872
CE5	189	FUN_007095-T1	307	2.9e-47	3	188	27	222	0.978836
GT2_Glycos_transf_2	170	FUN_007158-T1	243	9.9e-37	0	169	11	181	0.994118
GH92	491	FUN_007187-T1	807	1.1e-164	2	490	265	785	0.993890
GH79	455	FUN_007191-T1	488	3.4e-61	1	425	22	452	0.931868
GH16_3	230	FUN_007200-T1	299	1.5e-31	0	214	51	258	0.930435
GH16	189	FUN_007200-T1	299	9.4e-26	11	176	63	260	0.873016
GH16_5	238	FUN_007200-T1	299	6.3e-19	62	219	89	255	0.659664
GH55	740	FUN_007201-T1	764	3.8e-162	7	714	31	733	0.955405
PL7_4	214	FUN_007205-T1	248	4.2e-88	0	214	28	248	1.000000
PL7	231	FUN_007205-T1	248	3.9e-45	0	231	28	248	1.000000
PL7_1	219	FUN_007205-T1	248	2.8e-23	1	219	29	248	0.995434
PL7_3	214	FUN_007205-T1	248	1.1e-20	0	193	29	235	0.901869
GH30_7	443	FUN_007221-T1	438	6.7e-151	2	248	27	269	0.555305
GH30	417	FUN_007221-T1	438	1.1e-76	8	415	21	436	0.976019
GH30_3	417	FUN_007221-T1	438	1.7e-41	3	220	26	248	0.520384
GH30_1	416	FUN_007221-T1	438	5.2e-33	2	212	27	244	0.504808
GH30_8	342	FUN_007221-T1	438	9e-30	1	157	28	224	0.456140
