#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH3	216	FUN_007556-T1	950	3.4e-65	6	216	167	380	0.972222
GT4	160	FUN_007594-T1	621	1.6e-29	16	158	398	556	0.887500
AA2	255	FUN_007603-T1	762	3.6e-38	18	114	106	203	0.376471
GH2	752	FUN_007607-T1	1109	2e-201	25	751	39	973	0.965426
GH72	312	FUN_007651-T1	440	1.4e-107	2	293	17	297	0.932692
GH64	367	FUN_007734-T1	449	3.7e-95	1	367	71	445	0.997275
GH36	688	FUN_007754-T1	748	5.6e-242	1	687	40	731	0.997093
AA12	401	FUN_007758-T1	433	5.1e-133	6	400	25	420	0.982544
AA1	358	FUN_007786-T1	623	1.5e-70	6	357	51	601	0.980447
AA1_3	312	FUN_007786-T1	623	2.1e-41	10	261	32	366	0.804487
AA1_1	303	FUN_007786-T1	623	1.3e-30	2	170	48	237	0.554455
GH31	427	FUN_007790-T1	851	5.7e-104	1	427	238	722	0.997658
GH54	316	FUN_007822-T1	505	2.3e-123	0	315	24	344	0.996835
CBM42	136	FUN_007822-T1	505	2.1e-39	1	135	361	500	0.985294
GH89	663	FUN_007824-T1	759	8.9e-196	1	655	66	740	0.986425
GH3	216	FUN_007834-T1	789	1.4e-61	2	216	80	295	0.990741
GT15	273	FUN_007911-T1	422	1.5e-122	0	272	102	373	0.996337
GH17	311	FUN_007921-T1	666	1.5e-31	2	306	377	652	0.977492
CE5	189	FUN_007972-T1	304	1.5e-35	1	188	105	280	0.989418
GH18	296	FUN_007978-T1	390	5.4e-70	5	286	40	356	0.949324
AA3	618	FUN_007989-T1	555	1.2e-85	79	400	1	547	0.519417
GH18	296	FUN_008023-T1	337	1.1e-41	5	270	30	335	0.895270
GH16_23	192	FUN_008084-T1	363	1.3e-91	5	192	98	285	0.973958
GH16	189	FUN_008084-T1	363	7e-21	8	189	59	285	0.957672
GH16_21	206	FUN_008084-T1	363	5.4e-20	26	192	85	270	0.805825
GH64	367	FUN_008085-T1	376	1.4e-111	1	367	2	372	0.997275
GH55	740	FUN_008087-T1	1379	6.6e-268	6	739	203	958	0.990541
GH18	296	FUN_008088-T1	1219	1.1e-68	2	284	66	412	0.952703
GH18	296	FUN_008118-T1	320	3.9e-27	3	203	33	271	0.675676
CE5	189	FUN_008142-T1	295	1.7e-26	1	167	38	202	0.878307
GH16_19	174	FUN_008165-T1	370	3.9e-76	2	173	27	197	0.982759
GH16_18	158	FUN_008165-T1	370	1.1e-45	5	158	39	195	0.968354
GH16_21	206	FUN_008165-T1	370	2.1e-23	54	191	47	189	0.665049
GH16	189	FUN_008165-T1	370	7.1e-23	52	176	47	193	0.656085
AA7	458	FUN_008176-T1	510	1.6e-48	3	209	67	275	0.449782
GH55	740	FUN_008222-T1	465	3.7e-158	288	723	8	458	0.587838
GT57	481	FUN_008226-T1	1673	1.5e-176	2	479	16	494	0.991684
GT64	248	FUN_008325-T1	343	7.8e-52	0	240	91	333	0.967742
GH2	752	FUN_008385-T1	624	9e-102	25	411	61	509	0.513298
AA7	458	FUN_008387-T1	580	1.6e-43	22	203	137	329	0.395197
AA1	358	FUN_008416-T1	634	5.5e-89	5	357	97	611	0.983240
AA1_3	312	FUN_008416-T1	634	1.5e-58	12	273	86	378	0.836538
AA1_2	337	FUN_008416-T1	634	7.9e-56	1	250	105	395	0.738872
AA1_1	303	FUN_008416-T1	634	7.2e-47	1	258	99	386	0.848185
GH75	220	FUN_008421-T1	300	1.8e-71	2	220	7	251	0.990909
GT22	389	FUN_008479-T1	621	1.2e-95	1	389	38	471	0.997429
AA3_2	568	FUN_008481-T1	629	3.3e-169	2	567	37	617	0.994718
AA3	618	FUN_008481-T1	629	2.5e-101	87	399	35	617	0.504854
AA3_3	590	FUN_008481-T1	629	3.6e-70	2	449	37	492	0.757627
AA3_1	548	FUN_008481-T1	629	2e-50	9	336	30	368	0.596715
GH13_40	359	FUN_008540-T1	367	3.5e-157	0	340	33	366	0.947075
GH13_31	349	FUN_008540-T1	367	1.3e-135	0	329	33	365	0.942693
GH13_29	344	FUN_008540-T1	367	2.9e-121	0	324	32	365	0.941860
GH13_23	344	FUN_008540-T1	367	2e-106	0	321	33	363	0.933140
GH13_17	350	FUN_008540-T1	367	2.3e-85	0	322	33	350	0.920000
GH13_30	365	FUN_008540-T1	367	4e-85	0	318	33	353	0.871233
GH13_36	314	FUN_008540-T1	367	6.9e-74	0	294	33	360	0.936306
GH13	299	FUN_008540-T1	367	2.5e-70	11	273	32	366	0.876254
GH13_16	353	FUN_008540-T1	367	3.7e-70	0	243	33	293	0.688385
GH13_35	351	FUN_008540-T1	367	4.7e-63	0	185	33	220	0.527066
GH13_21	308	FUN_008540-T1	367	8e-56	0	288	33	361	0.935065
GH13_20	300	FUN_008540-T1	367	3.9e-47	0	275	33	358	0.916667
GH13_4	400	FUN_008540-T1	367	4.9e-42	1	187	33	218	0.465000
GH13_2	310	FUN_008540-T1	367	3.5e-33	1	291	33	358	0.935484
GH13_39	316	FUN_008540-T1	367	1.9e-29	0	167	33	217	0.528481
GH13_1	306	FUN_008540-T1	367	2e-29	1	278	33	357	0.905229
GH13_14	289	FUN_008540-T1	367	2.3e-28	1	272	43	362	0.937716
GH13_18	343	FUN_008540-T1	367	3.8e-26	2	215	52	289	0.620991
GH13_41	294	FUN_008540-T1	367	9.5e-23	0	163	33	218	0.554422
GH13_10	313	FUN_008540-T1	367	6.3e-21	4	148	33	219	0.460064
GH13_3	210	FUN_008540-T1	367	4.5e-19	2	147	40	211	0.690476
GH13_12	284	FUN_008540-T1	367	9.3e-19	0	156	33	215	0.549296
GT22	389	FUN_008542-T1	573	3.1e-76	3	368	11	408	0.938303
CE5	189	FUN_000018-T1	208	2.2e-20	7	133	47	158	0.666667
AA7	458	FUN_000026-T1	472	1.9e-85	5	458	38	468	0.989083
CE4	130	FUN_000029-T1	461	2.2e-30	5	127	105	239	0.938462
AA3_2	568	FUN_000056-T1	584	1e-142	2	567	23	582	0.994718
AA3	618	FUN_000056-T1	584	1.2e-74	83	399	17	582	0.511327
AA3_3	590	FUN_000056-T1	584	7.1e-67	1	318	22	347	0.537288
AA7	458	FUN_000059-T1	496	1.5e-46	6	453	52	483	0.975983
GH93	307	FUN_000146-T1	358	5.4e-66	2	270	22	296	0.872964
GH47	446	FUN_000169-T1	1071	4.5e-136	0	445	15	555	0.997758
GH16_22	216	FUN_000176-T1	320	8.1e-79	1	216	86	291	0.995370
GH16	189	FUN_000176-T1	320	2.5e-25	8	188	83	291	0.952381
GH31	427	FUN_000291-T1	882	4.2e-143	0	426	250	763	0.997658
GT17	284	FUN_000293-T1	374	1.2e-77	5	283	69	361	0.978873
GT62	268	FUN_000304-T1	445	1e-124	2	268	66	330	0.992537
GH125	402	FUN_000335-T1	544	7.1e-158	0	402	82	517	1.000000
GT2_Chitin_synth_1	163	FUN_000363-T1	921	1.6e-76	0	163	234	397	1.000000
GT2_Chitin_synth_2	527	FUN_000363-T1	921	1.7e-25	203	468	374	664	0.502846
GH32	293	FUN_000364-T1	580	2.6e-88	0	290	59	376	0.989761
GH18	296	FUN_000400-T1	394	2.1e-83	1	287	1	356	0.966216
GH43_34	280	FUN_000434-T1	527	2.7e-95	0	280	63	345	1.000000
GH43_29	278	FUN_000434-T1	527	1.4e-58	3	278	66	346	0.989209
GH43	248	FUN_000434-T1	527	1.3e-56	2	247	63	346	0.987903
GH43_3	299	FUN_000434-T1	527	1.5e-53	2	297	63	343	0.986622
GH43_33	315	FUN_000434-T1	527	3.7e-47	11	143	78	215	0.419048
GH43_2	273	FUN_000434-T1	527	2.2e-43	1	273	71	345	0.996337
GH43_16	311	FUN_000434-T1	527	2.9e-42	1	311	63	346	0.996785
GH43_32	267	FUN_000434-T1	527	4.7e-39	0	266	80	343	0.996255
GH43_30	265	FUN_000434-T1	527	1.5e-35	2	255	71	323	0.954717
GH43_31	268	FUN_000434-T1	527	2.5e-34	3	262	71	334	0.966418
GH43_1	310	FUN_000434-T1	527	6.8e-32	5	154	68	216	0.480645
GH43_19	233	FUN_000434-T1	527	2.8e-31	16	215	81	338	0.854077
GH43_9	272	FUN_000434-T1	527	2.2e-30	1	271	63	345	0.992647
GH43_26	294	FUN_000434-T1	527	6.5e-26	2	293	63	345	0.989796
GH43_10	271	FUN_000434-T1	527	5.2e-25	1	250	63	320	0.918819
GH43_24	246	FUN_000434-T1	527	3.3e-24	4	239	79	317	0.955285
GH43_8	281	FUN_000434-T1	527	9.3e-24	1	277	64	342	0.982206
GH43_22	209	FUN_000434-T1	527	2.5e-22	14	207	79	320	0.923445
CBM66	155	FUN_000434-T1	527	7.2e-22	1	154	360	521	0.987097
GH43_5	287	FUN_000434-T1	527	1.9e-19	2	284	72	343	0.982578
GH43_37	242	FUN_000434-T1	527	2.9e-19	20	233	89	298	0.880165
GH43_12	281	FUN_000434-T1	527	5.7e-18	1	213	63	285	0.754448
GH47	446	FUN_000447-T1	595	7.8e-163	0	446	114	590	1.000000
GT2_Chitin_synth_2	527	FUN_000515-T1	1778	1.3e-228	1	525	1057	1566	0.994307
GT2_Chitin_synth_2	527	FUN_000516-T1	1860	4.2e-248	1	527	1203	1711	0.998102
GT64	248	FUN_000652-T1	329	1.4e-22	0	154	89	246	0.620968
GH72	312	FUN_000711-T1	526	5.2e-128	2	310	16	327	0.987179
AA11	191	FUN_000730-T1	385	4.6e-63	10	187	33	212	0.926702
GT4	160	FUN_000757-T1	496	8.2e-35	6	137	217	348	0.818750
GH105	332	FUN_000783-T1	378	3.6e-21	77	280	119	324	0.611446
GH16_18	158	FUN_000811-T1	366	1.6e-66	1	158	66	221	0.993671
GH16_19	174	FUN_000811-T1	366	4.1e-43	6	174	62	224	0.965517
GH16_21	206	FUN_000811-T1	366	1.7e-23	39	183	60	207	0.699029
GH16	189	FUN_000811-T1	366	1.2e-22	51	176	77	217	0.661376
GH16_27	138	FUN_000811-T1	366	2.5e-18	27	133	103	208	0.768116
GH92	491	FUN_000813-T1	780	1.4e-157	2	490	248	758	0.993890
GT1	382	FUN_000832-T1	1388	2.3e-52	5	377	898	1313	0.973822
GT20	475	FUN_000844-T1	872	3.1e-155	69	474	111	552	0.852632
GT24	248	FUN_000856-T1	1457	1.4e-135	0	248	1150	1398	1.000000
GH17	311	FUN_000860-T1	377	6e-28	7	298	122	368	0.935691
GT48	739	FUN_000862-T1	1942	0.0	0	733	860	1640	0.991881
GT2_Glyco_trans_2_3	197	FUN_000945-T1	890	2.5e-54	0	193	506	717	0.979695
GH16_4	316	FUN_000946-T1	491	2.8e-114	1	315	159	481	0.993671
GH16_3	230	FUN_000946-T1	491	2.6e-49	4	210	160	437	0.895652
GH16	189	FUN_000946-T1	491	4.2e-41	5	176	160	464	0.904762
GH16_5	238	FUN_000946-T1	491	3e-23	25	204	183	389	0.752101
GH18	296	FUN_000951-T1	336	1.8e-23	3	222	32	288	0.739865
AA7	458	FUN_001007-T1	568	1.9e-39	2	217	85	312	0.469432
GH76	358	FUN_001016-T1	583	6.2e-56	33	328	87	491	0.824022
AA3_2	568	FUN_001029-T1	633	1.3e-128	1	546	53	625	0.959507
AA3	618	FUN_001029-T1	633	5.4e-67	76	375	41	622	0.483819
AA3_3	590	FUN_001029-T1	633	3.1e-42	2	461	54	549	0.777966
GH2	752	FUN_001041-T1	854	3.6e-96	25	560	2	748	0.711436
AA3_2	568	FUN_001061-T1	570	4.5e-110	1	527	34	570	0.926056
AA3	618	FUN_001061-T1	570	7.1e-61	81	359	27	570	0.449838
AA3_3	590	FUN_001061-T1	570	1.8e-51	1	307	34	351	0.518644
GH31	427	FUN_001116-T1	932	6.4e-146	0	427	248	812	1.000000
GH3	216	FUN_001126-T1	832	3e-63	4	216	33	245	0.981481
GH5_11	313	FUN_001140-T1	422	2.9e-119	0	313	39	376	1.000000
GH5_16	337	FUN_001140-T1	422	2.2e-56	0	336	39	376	0.997033
GH5_24	315	FUN_001140-T1	422	4.6e-46	0	310	39	379	0.984127
GH5_51	351	FUN_001140-T1	422	4.5e-36	2	349	41	378	0.988604
GH5	275	FUN_001140-T1	422	6e-36	1	232	39	377	0.840000
GH5_1	310	FUN_001140-T1	422	3.3e-26	0	301	41	376	0.970968
PL7_4	214	FUN_001180-T1	245	4.8e-79	0	214	28	245	1.000000
PL7	231	FUN_001180-T1	245	2.9e-41	0	231	28	245	1.000000
PL7_1	219	FUN_001180-T1	245	1.4e-20	1	219	29	245	0.995434
PL7_3	214	FUN_001180-T1	245	1.1e-18	0	214	29	245	1.000000
GH71	375	FUN_001229-T1	613	1.2e-138	0	374	36	427	0.997333
CBM24	76	FUN_001229-T1	613	8.8e-30	32	64	8	41	0.421053
GH76	358	FUN_001234-T1	424	1.2e-102	29	356	3	367	0.913408
GT4	160	FUN_001254-T1	525	5.9e-39	2	159	245	405	0.981250
PL8_4	243	FUN_001258-T1	777	4.5e-126	1	243	389	633	0.995885
PL8	259	FUN_001258-T1	777	6.1e-43	1	257	387	634	0.988417
PL8_3	249	FUN_001258-T1	777	1.6e-36	1	218	387	606	0.871486
GT32	90	FUN_001306-T1	371	1.4e-21	2	84	122	199	0.911111
GT62	268	FUN_001346-T1	406	6.4e-108	1	267	98	363	0.992537
GH79	455	FUN_001379-T1	529	3.3e-86	2	436	33	505	0.953846
GH13_40	359	FUN_001390-T1	600	2e-175	0	358	32	392	0.997214
GH13_31	349	FUN_001390-T1	600	1.4e-132	0	348	32	392	0.997135
GH13_29	344	FUN_001390-T1	600	1.1e-116	0	343	31	392	0.997093
GH13_23	344	FUN_001390-T1	600	6e-112	0	342	32	392	0.994186
GH13_30	365	FUN_001390-T1	600	4.8e-87	0	363	32	390	0.994521
GH13_17	350	FUN_001390-T1	600	2.7e-82	0	349	32	392	0.997143
GH13_36	314	FUN_001390-T1	600	5e-73	0	312	32	391	0.993631
GH13	299	FUN_001390-T1	600	2.4e-70	12	292	32	393	0.936455
GH13_16	353	FUN_001390-T1	600	1.8e-68	0	303	32	357	0.858357
GH13_35	351	FUN_001390-T1	600	1.2e-55	0	195	32	231	0.555556
GH13_21	308	FUN_001390-T1	600	1.7e-54	0	304	32	390	0.987013
GH13_20	300	FUN_001390-T1	600	3.5e-45	0	165	32	217	0.550000
GH13_4	400	FUN_001390-T1	600	2.2e-33	1	187	32	219	0.465000
GH13_1	306	FUN_001390-T1	600	5.9e-31	1	297	32	389	0.967320
GH13_14	289	FUN_001390-T1	600	6.4e-31	0	156	41	218	0.539792
GH13_2	310	FUN_001390-T1	600	1.8e-30	1	175	32	216	0.561290
GH13_39	316	FUN_001390-T1	600	7.4e-27	0	165	32	216	0.522152
GH13_41	294	FUN_001390-T1	600	3.1e-23	0	159	32	215	0.540816
GH13_32	269	FUN_001390-T1	600	1.8e-19	0	155	48	218	0.576208
GH13_18	343	FUN_001390-T1	600	9.3e-19	1	159	50	221	0.460641
GH13_10	313	FUN_001390-T1	600	1.5e-18	7	147	35	219	0.447284
GH13_37	320	FUN_001390-T1	600	2.2e-18	7	155	31	213	0.462500
GH13_6	289	FUN_001390-T1	600	9.8e-18	1	157	42	218	0.539792
GH35	307	FUN_001393-T1	1008	5.2e-91	1	302	52	382	0.980456
GT25	181	FUN_001406-T1	412	6.3e-26	1	178	76	329	0.977901
GH31	427	FUN_001445-T1	843	9.7e-126	0	427	238	727	1.000000
GT39	223	FUN_001450-T1	901	5e-70	1	223	51	297	0.995516
GH16_18	158	FUN_001531-T1	358	1.9e-47	1	158	81	237	0.993671
GH16_19	174	FUN_001531-T1	358	2.5e-43	10	174	81	240	0.942529
GH16	189	FUN_001531-T1	358	1.2e-20	30	185	74	241	0.820106
GH16_21	206	FUN_001531-T1	358	1.6e-19	51	187	90	228	0.660194
CE5	189	FUN_001573-T1	292	4.8e-39	2	187	22	217	0.978836
GH54	316	FUN_001623-T1	498	2.9e-133	0	315	27	335	0.996835
CBM42	136	FUN_001623-T1	498	3.9e-54	1	135	352	492	0.985294
GH18	296	FUN_001627-T1	349	3.9e-22	2	201	41	300	0.672297
GT1	382	FUN_001642-T1	870	1.7e-57	87	377	192	511	0.759162
GH55	740	FUN_001659-T1	731	3.1e-192	10	739	19	729	0.985135
GH47	446	FUN_001725-T1	510	1.2e-126	1	446	41	508	0.997758
AA12	401	FUN_001730-T1	455	4.9e-172	4	401	24	420	0.990025
AA9	220	FUN_001791-T1	480	2.3e-52	1	219	3	225	0.990909
GT2_Glycos_transf_2	170	FUN_001798-T1	426	1.9e-24	0	118	124	284	0.694118
AA2	255	FUN_001835-T1	389	4.7e-57	1	254	90	336	0.992157
AA1	358	FUN_001895-T1	680	9.6e-109	6	357	135	634	0.980447
AA1_2	337	FUN_001895-T1	680	1.2e-80	1	328	137	497	0.970326
AA1_3	312	FUN_001895-T1	680	1.1e-77	10	301	116	425	0.932692
AA1_1	303	FUN_001895-T1	680	8.9e-69	1	301	131	459	0.990099
GH55	740	FUN_001939-T1	1356	3.4e-233	11	732	192	917	0.974324
CBM21	107	FUN_001968-T1	672	1.1e-30	5	107	306	410	0.953271
GH76	358	FUN_001996-T1	487	8.5e-98	12	355	28	408	0.958101
GT2_Chitin_synth_1	163	FUN_002010-T1	918	8e-76	0	163	251	414	1.000000
AA7	458	FUN_002036-T1	385	8.8e-36	105	454	10	359	0.762009
PL20	229	FUN_002044-T1	266	6e-62	0	228	23	258	0.995633
GH35	307	FUN_002140-T1	967	2.5e-84	0	303	50	338	0.986971
GH152	216	FUN_002153-T1	245	2.2e-33	93	216	1	176	0.569444
GT57	481	FUN_002198-T1	592	1.5e-143	2	229	65	297	0.471933
GT22	389	FUN_002206-T1	614	5.4e-104	4	388	16	473	0.987147
GT8	257	FUN_002270-T1	693	3.6e-43	29	255	9	227	0.879377
CBM52	52	FUN_002350-T1	487	1.6e-28	2	49	45	91	0.903846
GT2_Glycos_transf_2	170	FUN_002407-T1	242	1.7e-35	0	169	10	180	0.994118
GH25	177	FUN_002427-T1	228	7.7e-46	1	176	25	209	0.988701
AA2	255	FUN_002445-T1	389	2.8e-52	0	254	92	337	0.996078
GH54	316	FUN_002466-T1	504	4.2e-148	0	315	23	341	0.996835
CBM42	136	FUN_002466-T1	504	2.2e-54	0	136	357	499	1.000000
AA7	458	FUN_002470-T1	1146	1.2e-37	4	182	302	497	0.388646
GH92	491	FUN_002479-T1	813	5.8e-160	3	489	262	770	0.989817
GT15	273	FUN_002492-T1	474	7.4e-102	0	111	117	228	0.406593
GH16_18	158	FUN_002527-T1	380	2.1e-59	7	158	72	221	0.955696
GH16_19	174	FUN_002527-T1	380	2.2e-43	20	174	76	224	0.885057
GH16_21	206	FUN_002527-T1	380	3.4e-25	49	183	73	207	0.650485
GH16	189	FUN_002527-T1	380	3.8e-22	52	176	78	217	0.656085
GH5_9	303	FUN_002533-T1	708	2.1e-107	0	303	341	665	1.000000
GH5_45	299	FUN_002533-T1	708	9.6e-36	1	242	339	577	0.806020
GH5_14	277	FUN_002533-T1	708	1.4e-32	2	233	339	577	0.833935
GH5_44	302	FUN_002533-T1	708	2.8e-32	0	122	341	473	0.403974
GH5	275	FUN_002533-T1	708	1.9e-30	26	275	340	667	0.905455
GH5_50	283	FUN_002533-T1	708	1.5e-26	0	236	339	576	0.833922
GH5_54	263	FUN_002533-T1	708	1.6e-24	1	218	327	556	0.825095
GH5_15	300	FUN_002533-T1	708	5.3e-23	3	248	334	581	0.816667
GH5_46	257	FUN_002533-T1	708	1.5e-19	8	222	340	553	0.832685
GH3	216	FUN_002544-T1	931	4.3e-49	8	215	85	311	0.958333
CE9	373	FUN_002545-T1	440	3e-114	0	365	22	416	0.978552
GH125	402	FUN_002562-T1	519	8e-154	0	401	69	502	0.997512
GH13_1	306	FUN_002577-T1	460	8.1e-111	0	306	56	346	1.000000
GH13	299	FUN_002577-T1	460	2.8e-61	12	297	57	346	0.953177
GH13_2	310	FUN_002577-T1	460	2.6e-51	0	308	56	336	0.993548
GH13_41	294	FUN_002577-T1	460	7.5e-45	0	290	57	338	0.986395
GH13_20	300	FUN_002577-T1	460	1.5e-43	0	300	57	344	1.000000
GH13_36	314	FUN_002577-T1	460	2.5e-41	0	309	57	336	0.984076
GH13_12	284	FUN_002577-T1	460	3.7e-36	0	281	57	336	0.989437
GH13_6	289	FUN_002577-T1	460	1.4e-34	1	177	67	236	0.608997
GH13_14	289	FUN_002577-T1	460	4.4e-33	0	289	66	335	1.000000
GH13_21	308	FUN_002577-T1	460	2e-32	0	307	57	341	0.996753
GH13_13	361	FUN_002577-T1	460	8.2e-31	52	197	83	229	0.401662
