#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1730857.1         -            967 3741at5125           -            734         0 1300.7   7.3   1   3         0         0 1215.4   0.1     1   619    97   754    97   768 0.95 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1739396.1         -            660 3741at5125           -            734   2.7e-06   24.9   0.6   1   3   9.6e-09   1.2e-05   22.8   0.0     2   133    23   156    22   168 0.78 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1739396.1         -            660 3741at5125           -            734   2.7e-06   24.9   0.6   2   3      0.32   4.2e+02   -2.1   0.4   140   190   211   260   181   276 0.83 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1739396.1         -            660 3741at5125           -            734   2.7e-06   24.9   0.6   3   3      0.23     3e+02   -1.6   0.1   379   397   262   280   250   283 0.82 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1735854.1         -           1116 3741at5125           -            734    0.0002   18.8   0.0   1   2   2.3e-06     0.003   14.9   0.0     2    51    78   127    77   134 0.91 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1735854.1         -           1116 3741at5125           -            734    0.0002   18.8   0.0   2   2     0.036        46    1.0   0.0   557   587   746   777   730   792 0.85 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/3741at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_ERL836/run_hypocreales_odb10/hmmer_output/initial_run_results/3741at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/3741at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:21:15 2024
# [ok]
